8828b5b;621;-37.05
70583e3;624;-28.62
77de2ed;642;-27.79
1f0ab88;688;-30.39
590f3be;689;-29.94
4029337;689;-29.00
893a8fe;689;-28.55
790d9da;813;-22.90
45a69ef;834;-23.11
1e7071a;1052;-23.16
e84b09f;1063;-23.24
dedc4b3;1143;-23.49
ad0fe16;1504;-22.41
509bd82;1564;-22.66
6a5080f;1564;-22.65
95d5ca8;2008;-26.45
92a02d9;2127;-27.69
72624d1;2221;-27.00
5de9fab;2235;-26.87
07cadd8;2235;-26.64
cd7a38e;2235;-25.23
9fe8271;2399;-24.32
7356076;2399;-24.32
8ecba92;2602;-20.87
69be7f4;2615;-20.74
554eab1;2717;-20.20
830d255;2735;-19.89
b77b702;2736;-19.89
3ec8d69;2730;-22.75
de87ef0;2734;-22.07
bfb5e43;2878;-22.39
f53267e;2721;-21.25
3354f3d;2721;-20.54
7bcb764;2734;-20.61
32e28e3;2886;-19.32
fce9da5;2886;-19.62






